Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-04-05 00:00:00-04:00,2.0884449041196644,2.0884449041196644,2.0431701821472563,2.066387891769409,196800,0.0,0.0
2004-04-06 00:00:00-04:00,2.0431704281104666,2.0594228489447506,2.0280787046878084,2.057101011276245,564800,0.0,0.0
2004-04-07 00:00:00-04:00,2.0547793297990644,2.083801635466155,2.032722315493742,2.072192668914795,492800,0.0,0.0
2004-04-08 00:00:00-04:00,2.0721924852418976,2.0896058228141623,2.059422601025023,2.066387891769409,544800,0.0,0.0
2004-04-12 00:00:00-04:00,2.0594226727262654,2.0733534761226546,1.9967346109990334,2.0605835914611816,982400,0.0,0.0
2004-04-13 00:00:00-04:00,2.0605834029144545,2.0838013326430893,2.0431700663292722,2.0687096118927,402400,0.0,0.0
2004-04-14 00:00:00-04:00,2.0687099507822495,2.0896060466766357,2.055940065197319,2.0896060466766357,630400,0.0,0.0
2004-04-15 00:00:00-04:00,2.088445127857767,2.0896060466766357,2.0687099507822495,2.0896060466766357,148000,0.0,0.0
2004-04-16 00:00:00-04:00,2.0687099507822495,2.0896060466766357,2.0663881131445123,2.0896060466766357,260000,0.0,0.0
2004-04-19 00:00:00-04:00,2.0524572995088732,2.147650417732085,2.0524572995088732,2.14416766166687,432000,0.0,0.0
2004-04-20 00:00:00-04:00,2.144167724103755,2.1476504802703857,2.103536675939427,2.1476504802703857,201600,0.0,0.0
2004-04-21 00:00:00-04:00,2.1476503902082484,2.1476503902082484,2.1081800409987217,2.1221108436584473,114400,0.0,0.0
2004-04-22 00:00:00-04:00,2.111662978536519,2.111662978536519,2.079157917151442,2.1046974658966064,186400,0.0,0.0
2004-04-23 00:00:00-04:00,2.096571338167223,2.102375932261566,2.0048609657028464,2.0896060466766357,279200,0.0,0.0
2004-04-26 00:00:00-04:00,2.059422821653925,2.0896060466766357,2.030400515450083,2.0896060466766357,178400,0.0,0.0
2004-04-27 00:00:00-04:00,2.0884444984008708,2.0896054168698384,2.019951858689666,2.0652267932891846,76800,0.0,0.0
2004-04-28 00:00:00-04:00,2.0211132786642,2.0779969692230225,2.0199523599071694,2.0779969692230225,126400,0.0,0.0
2004-04-29 00:00:00-04:00,2.07799684441462,2.097732019253583,2.021113157272339,2.021113157272339,505600,0.0,0.0
2004-04-30 00:00:00-04:00,2.029239392138022,2.06754882360962,1.9642294947910135,2.061744451522827,525600,0.0,0.0
2004-05-03 00:00:00-04:00,2.0420094822161445,2.0896060466766357,2.018791548684021,2.0896060466766357,116000,0.0,0.0
2004-05-04 00:00:00-04:00,2.0605835914611816,2.0745143948575713,2.037365659608069,2.0605835914611816,597600,0.0,0.0
2004-05-05 00:00:00-04:00,2.089605448270434,2.1244321171725833,2.054778779368284,2.0872836112976074,555200,0.0,0.0
2004-05-06 00:00:00-04:00,2.0872839854251666,2.101214788336539,2.0512963915861397,2.066387891769409,1284800,0.0,0.0
2004-05-07 00:00:00-04:00,2.0942490539643277,2.1186276771168187,2.0605830832232073,2.1116623878479004,1226400,0.0,0.0
2004-05-10 00:00:00-04:00,2.089605624350701,2.107018960269108,2.066387695511106,2.1023755073547363,1436000,0.0,0.0
2004-05-11 00:00:00-04:00,2.0710314679592856,2.1186280250549316,2.0710314679592856,2.1186280250549316,1440000,0.0,0.0
2004-05-12 00:00:00-04:00,2.07915733074892,2.112823301412214,2.0756745754112353,2.1070187091827393,902400,0.0,0.0
2004-05-13 00:00:00-04:00,2.0779965897597683,2.1174669346006723,2.0779965897597683,2.108179807662964,1196000,0.0,0.0
2004-05-14 00:00:00-04:00,2.105857505734258,2.1186273854882987,2.0930878474027397,2.1035358905792236,137600,0.0,0.0
2004-05-17 00:00:00-04:00,2.077996663922204,2.097731837046992,2.077996663922204,2.088444709777832,89600,0.0,0.0
2004-05-18 00:00:00-04:00,2.0988931758049603,2.1012150134426975,2.0745145448765925,2.0896060466766357,144800,0.0,0.0
2004-05-19 00:00:00-04:00,2.0779966138107913,2.0896055779729332,2.0779966138107913,2.0803184509277344,205600,0.0,0.0
2004-05-20 00:00:00-04:00,2.0814796858444615,2.101214861492825,2.0605835914611816,2.0605835914611816,1951200,0.0,0.0
2004-05-21 00:00:00-04:00,2.1012144348430724,2.1012144348430724,2.044330756917996,2.059422254562378,158400,0.0,0.0
2004-05-24 00:00:00-04:00,2.0594227835660366,2.090766926827923,2.0431703632477043,2.072192668914795,256800,0.0,0.0
2004-05-25 00:00:00-04:00,2.0896056283642994,2.0896056283642994,2.067548618066576,2.088444709777832,156800,0.0,0.0
2004-05-26 00:00:00-04:00,2.072192690523139,2.112823963165283,2.072192690523139,2.112823963165283,666400,0.0,0.0
2004-05-27 00:00:00-04:00,2.1128236532813514,2.1186280250549316,2.0942493978987864,2.1186280250549316,194400,0.0,0.0
2004-05-28 00:00:00-04:00,2.118628176482948,2.2173040536447575,2.1163063390385277,2.1476504802703857,753600,0.0,0.0
2004-06-01 00:00:00-04:00,2.194085686826779,2.194085686826779,2.1139840822640807,2.155776262283325,158400,0.0,0.0
2004-06-02 00:00:00-04:00,2.122110816848808,2.1604202469008267,2.1035365611522288,2.1499722003936768,211200,0.0,0.0
2004-06-03 00:00:00-04:00,2.1325589176280193,2.1534547897515104,2.1070191493283095,2.14416766166687,304800,0.0,0.0
2004-06-04 00:00:00-04:00,2.1522942664531723,2.159259557723999,2.1186282860360444,2.159259557723999,110400,0.0,0.0
2004-06-07 00:00:00-04:00,2.1592592479577535,2.1650636196136475,2.1035364829398646,2.1650636196136475,465600,0.0,0.0
2004-06-08 00:00:00-04:00,2.1023757994159586,2.175511909002338,2.1023757994159586,2.1697075366973877,482400,0.0,0.0
2004-06-09 00:00:00-04:00,2.170868471196183,2.1917643444992043,2.1186282343821,2.1464896202087402,1204800,0.0,0.0
2004-06-10 00:00:00-04:00,2.1546154815163416,2.1546154815163416,2.113984217391841,2.139523983001709,330400,0.0,0.0
2004-06-14 00:00:00-04:00,2.1476504802703857,2.1476504802703857,2.0896058726955107,2.1476504802703857,188000,0.0,0.0
2004-06-15 00:00:00-04:00,2.1139845015941074,2.1476504802703857,2.1139845015941074,2.1476504802703857,395200,0.0,0.0
2004-06-16 00:00:00-04:00,2.1476504802703857,2.153454852458831,2.1418461080819404,2.1476504802703857,953600,0.0,0.0
2004-06-17 00:00:00-04:00,2.112823504202558,2.1580982208251953,2.112823504202558,2.1580982208251953,1493600,0.0,0.0
2004-06-18 00:00:00-04:00,2.1476504708677133,2.1604203553335117,2.1476504708677133,2.156937599182129,337600,0.0,0.0
2004-06-21 00:00:00-04:00,2.152294213978423,2.1534549113097476,2.1360415728459237,2.1464896202087402,238400,0.0,0.0
2004-06-22 00:00:00-04:00,2.156937619622859,2.281153045038802,2.1557767008947297,2.266061544418335,1612800,0.0,0.0
2004-06-23 00:00:00-04:00,2.2056947477179194,2.3415191173553467,2.2056947477179194,2.3415191173553467,1256800,0.0,0.0
2004-06-24 00:00:00-04:00,2.3450018460956596,2.3450018460956596,2.2509694379785103,2.3055315017700195,1101600,0.0,0.0
2004-06-25 00:00:00-04:00,2.2788313644408076,2.3217844746477447,1.9967347367661095,2.2811532020568848,7465600,0.0,0.0
2004-06-28 00:00:00-04:00,2.2950838134896583,2.3101753138808734,2.23471736907959,2.23471736907959,547200,0.0,0.0
2004-06-29 00:00:00-04:00,2.278831286353977,2.279992205122235,2.2277521890862997,2.246326446533203,881600,0.0,0.0
2004-06-30 00:00:00-04:00,2.25213084607708,2.25213084607708,2.149972428888691,2.159259557723999,484000,0.0,0.0
2004-07-01 00:00:00-04:00,2.1940861713493502,2.1940861713493502,2.0594226964634084,2.10121488571167,664800,0.0,0.0
2004-07-02 00:00:00-04:00,2.1221106429805117,2.146489268551415,2.0965708774232885,2.134880304336548,256000,0.0,0.0
2004-07-06 00:00:00-04:00,2.159258930334354,2.2207860579575986,2.14764996730764,2.1940855979919434,1627200,0.0,0.0
2004-07-07 00:00:00-04:00,2.1766725503816056,2.20569485105336,2.1766725503816056,2.20221209526062,515200,0.0,0.0
2004-07-08 00:00:00-04:00,2.1766722499479383,2.2126598358154297,2.1766722499479383,2.2126598358154297,607200,0.0,0.0
2004-07-09 00:00:00-04:00,2.1859597382127105,2.1894424941017987,2.112823635922566,2.137202262878418,244800,0.0,0.0
2004-07-12 00:00:00-04:00,2.1186282190079075,2.1708684554429,2.1186282190079075,2.1697075366973877,299200,0.0,0.0
2004-07-13 00:00:00-04:00,2.155776733173853,2.1824772000528,2.1383633948363925,2.1697075366973877,662400,0.0,0.0
2004-07-14 00:00:00-04:00,2.137202280437496,2.1488112454072468,2.1186280250549316,2.1186280250549316,498400,0.0,0.0
2004-07-15 00:00:00-04:00,2.1151450280323036,2.1662243352231325,2.1093406569203625,2.132558584213257,722400,0.0,0.0
2004-07-16 00:00:00-04:00,2.1232719448470903,2.130237236064387,2.1035367685459034,2.1046974658966064,328800,0.0,0.0
2004-07-19 00:00:00-04:00,2.1070192162795496,2.148811404699691,2.1070192162795496,2.1337196826934814,192000,0.0,0.0
2004-07-20 00:00:00-04:00,2.1476504802703857,2.149972317714806,2.1046973732390315,2.1476504802703857,1772800,0.0,0.0
2004-07-21 00:00:00-04:00,2.170868460651236,2.170868460651236,2.0315613107721044,2.10121488571167,1550400,0.0,0.0
